en_sentence	de_sentence	fr_sentence	multi	binary
Tell him you're gonna play games on his fucking head.	Sag ihm, du spielst Spielchen auf seinem verdammten Schädel.	C'est avec sa putain de tête qu'on va faire joujou.	3	0
I'm gonna play games on your fucking head.	Ich spiele Spielchen auf deinem verdammten Schädel.	On va faire joujou avec ta putain de tête.	5	1
What the hell are you doing?	Was zum Teufel soll das werden?	Qu'est-ce qui te prend ?	1	0
Mr. Skelton wants to know how come he don't know you.	Mr. Skelton will wissen, warum er Sie nicht kennt.	M. Skelton s'étonne de ne pas vous connaître.	5,7	1
- Lombino didn't say nothing...	- Lombino hat kein Wort...	- Lombino n'a pas parlé...	6	0
- Don't you see me standing right here?	- Siehst du nicht, dass ich hier stehe?	- Tu vois pas que je suis là ?	1	0
They gotta know Mario's gonna pull out their livers.	Mario wird ihnen die Leber rausreißen.	Ils doivent savoir que Mario va les dégommer.	1,3,6	0
And that's why the man is king.	Und darum ist der Mann König.	C'est pour ça que c'est le roi.	8	1
Lombino is king.	Lombino ist der König.	Lombino est le roi.	5,8	1
It must be in your genes.	Du musst es in den Genen haben.	Ce doit être dans tes gênes.	5	1
Give him $100.	Gib ihm $100.	Donne-lui 100 $.	1,2	0
I'll give you a minute and 28 seconds.	Ich gebe Ihnen sogar 1 Min. und 28 Sek.	Vous avez 1 minute et 28 secondes.	1	0
I can sit.	Aber ich kann mich hinsetzen.	Je peux m'asseoir.	2	1
- Hey, wait your turn.	- Sie sind noch nicht dran.	- Attendez votre tour.	1	0
Oh, and I need a can of Maxwell House.	Und eine Dose Kaffee, bitte.	Et une boite de café soluble Maxwell.	2	1
There it is.	Da steht er.	Là. Là.	2,5,7	1
Yeah, that's it.	Ja, genau den.	Oui, c'est celui-là.	5	1
He ain't gonna make it.	Er schafft es nicht.	Il va rater le bus.	4,6	0
You son of a bitch!	Du verfluchter Mistkerl!	Salaud.	1	0
- He's a thief, he stole something from me!	- Das ist ein Dieb. - Er hat mich bestohlen.	- C'est un voleur !	1	0
- Unbelievable.	- Nicht zu fassen.	- Incroyable.	7	None
May I ask you a question?	Darf ich Sie was fragen?	Puis-je vous poser une question ?	2	1
You should have a kid, Phyllis.	Du wärst eine tolle Mutter, Phyllis.	Tu devrais avoir un enfant, Phyllis.	5	1
Funny you should say that.	Was du nicht sagst.	C'est marrant que tu dises ça.	7	None
Sit back.	Nicht so laut.	Assieds-toi.	1	0
I mean, you said it yourself, Loomis.	Du hast es selbst gesagt, Loomis.	Tu l'as dit toi-même, Loomis.	8	1
Except you honked the fucking horn.	Außer für das mit der verdammten Hupe.	Sauf le fait d'avoir klaxonné.	1,3,7	0
This isn't my usual route.	Das ist sonst nicht meine Strecke.	Je ne prends pas cette ligne d'habitude.	2,7	1
- You're gonna even that out, aren't you?	- Passen Sie bloß auf.	- Vous allez égaliser, j'espêre ?	1,2,3	0
- Mind your own business.	- Kümmern Sie sich um Ihren Kram.	- Ça ne vous regarde pas.	1	0
What'd he say?	Was hat er gesagt?	Qu'est-ce qu'il a dit ?	2	1
His place?	In seinem Revier?	Chez lui ?	2	1
Does the clown work for Lombino too?	Arbeitet der Clown auch für Lombino?	Le clown travaille aussi pour Lombino ?	3	0
He's in on it, sir.	Er steckt mit drin, Sir.	Il est de mêche.	2,8	1
He wouldn't tell us a goddamn thing.	Aber er sagt kein Ton.	Il n'a pas voulu parler.	1	0
You idiot.	Sie Idiot.	Imbécile.	3	0
Come on...	Kommen Sie...	Venez.	3	0
Who was the clown?	Wer war der Clown?	Qui était le clown ?	2	1
- A bus?	- Dem Bus?	- Un bus ?	7	None
Driver, I'm a little disappointed in you!	Fahrer, ich bin doch ein wenig enttäuscht von Ihnen.	Chauffeur, vous me décevez !	1	0
How can you ask me that now?	Wie kannst du mich das jetzt fragen?	Tu me demandes ça maintenant ?	3	0
- Except blurt out a total confession.	- Außer ein Geständnis ausplappern.	- Il peut se confesser.	5	1
We're home free.	Wir sind vogelfrei.	On est libres.	6	0
- Listen, I'll pay his fare.	- Ich bezahle für ihn.	- Je paie pour lui.	2	1
- You have exact change?	- Haben Sie's passend?	- La somme exacte ?	2	1
- Come on, son.	Raus hier.	- Allez, viens.	4,5,8	1
Take this and start a new life for yourself.	Fangen Sie damit ein neues Leben an.	Prends ça et lance-toi dans la vie.	5,6,8	1
Is this the kind of person that you are?	So ein Mensch bist du also?	Je ne te croyais pas comme ça !	3,6,7	0
We lose a little time, and all of a sudden it's every girl for herself.	Wir verlieren ein wenig Zeit, und plötzlich heißt es jeder für sich.	On perd un peu de temps et tout d'un coup, c'est chacun pour soi.	3,6	0
I just want you to leave me alone.	Lass mich einfach in Ruhe.	Je veux que tu me laisses tranquille.	1,3,6	0
The thing is, Loomis, we lost a little time.	Die Sache ist, Loomis, wir haben Zeit verloren.	Tu sais, Loomis, on a perdu du temps.	4	0
- Nobody's gonna hurt you.	- Niemand wird dich schlagen.	- Personne ne va te frapper.	8	1
Just promise him.	Versprich's ihm einfach.	Promets-le-lui.	8	1
If it were our plane, it'd be crashing.	Dann würde er ja abstürzen.	Si c'était le nôtre, il se serait écrasé.	1	0
I sure couldn't tell you.	Das kann ich dir nicht sagen.	Je n'en sais rien.	3,8	0
Phyllis can't ride on that thing, not in her condition.	Auf dem Ding kann Phyllis nicht fahren. Nicht in ihrem Zustand.	Phyllis ne peut pas monter là-dedans, pas dans son état.	4,6	0
- Why, you got something?	- Haben Sie etwas?	- Vous avez du nouveau ?	2	1
- Jesus, this is a fairly young guy.	- Ihr Kollege ist noch ziemlich jung.	II est assez jeune.	7	None
ESP exists, Grimm.	So etwas soll's geben.	La télépathie existe.	5,7	1
Am I gonna see you in there?	Wir sehen uns da drinnen?	On se retrouve là-bas ?	2	1
Hey, clown!	Hey, Sie Clown!	Hé, le clown !	1,3	0
- Too many passengers, I'm afraid.	- Zu viele Passagiere, fürchte ich.	- J'en ai peur. Le vol est complet.	6	0
I just think you're not gonna be able to go back to what you were.	Ich glaube nur nicht, dass du wieder der Alte wirst.	Tu ne pourras pas reprendre la vie que tu menais.	6	0
I'm going to Martinique with a million bucks taped to my butt unless you keep screwing around, in which case, we'll all go to jail.	Ich fliege nach Martinique mit $1 Mio., es sei denn, du posaunst es aus. Dann wandern wir alle in den Knast.	Je pars en Martinique avec un million de dollars collé au derrière, à moins que tu continues ta comédie et là, on finira tous en taule.	1,3,4	0
- Grimm, I'm thinking of the baby!	- Grimm, ich denke an das Baby!	- Je pensé au bébé !	1	0
Maybe you should've told her you loved her.	Vielleicht, dass du sie liebst.	Tu aurais dû lui dire que tu l'aimais.	6	0
- Please?	- Bitte?	- S'il te plaît ?	2	1
Oh, you must be from around here.	Sie müssen von hier sein.	Vous devez être d'ici.	7	None
We'll just go and have a great time anyway, huh?	Dann machen wir uns eben allein ein schönes Leben.	Allez, on part quand même. On va bien s'amuser.	5	1
This was not the plan.	Das war in meinem Plan nicht vorgesehen.	Ce n'était pas ce qu'on avait prévu.	4	0
Just promise me you'll see a doctor as soon as you get there, okay?	Versprich mir, dass du sofort zu einem Arzt gehst, wenn du da bist.	Mais promets-moi d'aller voir un médecin dès ton arrivée.	4	0
Hey, you two with the mileage upgrades, sit down.	Hey, ihr 2 mit dem Vielfliegerrabatt, hinsetzen.	Vous deux, les surclassés, asseyez-vous.	1	0
When I find Phyllis...	Wenn ich Phyllis finde...	Dês que je trouve Phyllis...	4	0
- Yeah, I mind.	- Nein, ich entschuldige nicht.	- Non, je permets pas.	1	0
That's my girl.	Braves Mädchen.	Tu es fantastique.	5,8	1
Vince, you fucking worm!	Vince, du mieser kleiner Wurm!	Vince, tu n'es qu'un salaud !	1,3	0
- He's come for the king.	- Er will den König.	- Il est ici pour lui.	3	0
Even if you get past me, there are 50 cops waiting outside.	Und draußen warten noch weitere 50 Polizisten auf Sie.	Même si tu m'échappes, il y a 50 flics qui t'attendent.	4,8	0
All right, Rotzinger.	Na warte, Rotzinger.	Três bien, Rotzinger.	8	1
Still got another minute.	Er hat noch 1 Min.	Encore une minute.	2	1
You rat!	Du Ratte!	Enflure !	1	0
Phyllis, they just caught this guy.	Dieser Mann wurde gerade verhaftet.	Ils viennent d'arrêter un type.	7	None
That's him.	Das ist er.	C'est lui.	1	0
Throw him in the car.	Sperr ihn in den Wagen.	Mets-le dans la voiture.	1	0
- Come on!	- Komm!	- Allez.	2	1
I love you!	Ich liebe dich!	Je t'aime !	5,8	1
- Is this the greatest day in your career?	- Ist das Ihr größter Tag?	- C'est un grand jour, non ?	2	1
What do you want?	- Was willst du?	- Qu'est-ce que tu veux ?	2	1
What are you talking about?	Was redest du da?	C'est pas vrai !	1	0
-I've got some sandwiches in my pack.	- Ich habe belegte Brote mit.	- J'ai des sandwiches dans mon sac.	5	1
My dad's gone, too.	Mein Dad ist auch schon tot.	Mon papa est mort aussi.	6	0
Just a little more, a little further...	Noch etwas mehr. Ein wenig noch.	- Génial ! Encore, un peu plus bas...	2	1
Joanna, sic him!	Joanna, ihm nach!	Joanna, va chercher !	4	0
Code red, code red!	Alarmstufe Rot!	Alerte rouge !	4	0
Quiet now, please, everyone pay attention.	Ich bitte um Ihre Aufmerksamkeit!	Silence. Votre attention, s'il vous plaît.	2	1
A young boy needs our help.	Ein kleiner Junge braucht unsere Hilfe.	Un enfant a besoin de notre aide.	2	1
You and Bernard have been asked to accept a dangerous mission to Australia.	Sie und Bernard wurden mit einer Mission nach Australien betraut.	On vous demande d'accepter une mission périlleuse en Australie.	4,6,7	0
-Not now, Francois, I'm busy!	- Nicht jetzt, François.	- Plus tard, François.	1,2,3	0
-Yes, but there's something I want...	- Ja, aber, ich möchte Sie etwas...	- Oui, mais je voudrais...	2	1
I know what you're going to say.	Ich weiß, was Sie sagen werden.	Je sais ce que vous voulez me dire.	2,6	1
We must act immediately, tonight!	Wir müssen sofort handeln.	Il faut agir immédiatement. Ce soir !	2,7	1
Now, you must fly out immediately!	Sie müssen sofort los.	- Vous devez partir immédiatement.	2,4	1
Darling, you'll be just fine!	- Das ist kein Problem.	Mon cher, tout ira bien !	2,8	1
This is no time to play in the snow.	Bernard, wir haben keine Zeit, im Schnee zu spielen.	Bernard, ce n'est pas le moment de jouer dans la neige.	1,6	0
Get down there, son!	Hau in die Saiten!	Chauffe, Marcel !	2,8	1
Pick it, boy, pick it!	- Hau rein!	- Ça balance !	5	1
Who killed the music?	- Wer hat das Radio ausgemacht?	- Qui a éteint la musique ?	1	0
The Miss Bianca?	- Miss Bianca?	- La vraie Miss Bianca ?	7	None
You've come to the right place, buddy boy.	- Da sind Sie an der richtigen Stelle.	- Vous ne pouvez pas mieux tomber !	2,5,7,8	1
Speaking of which, what can I get you?	Was kann ich Ihnen anbieten?	Qu'est-ce que je vous sers ?	2	1
How about a nice mango Maui cooler?	Erfrischenden Mango-Cocktail?	Cocktail à la mangue ?	2,5,7	1
The land down under?	Unsere Gegenfüßler.	De l'autre côté du globe ?	5,7	1
We must leave tonight.	Nein, heute Nacht!	Non, nous devons partir ce soir.	6	0
Come on, you're kidding me, right?	Sie machen Witze?	Vous voulez rire ?	7	None
You mean, a little kid kinda boy?	Ein kleiner Junge?	Vous voulez dire un enfant ?	1	0
He was kidnapped.	- Man hat ihn entführt.	- Il a été enlevé.	7	None
And dead ahead, is home sweet home.	Und zum Greifen nahe ist dein Heim.	En face, il y a mon doux foyer.	5,6,8	1
Enjoy your stay in Australia.	Einen schönen Aufenthalt in Australien.	Nous vous souhaitons un agréable séjour en Australie.	2,5	1
-Are we there yet?	- Sind wir schon da?	- Nous sommes arrivés ?	2	1
Oh, boy.	Auf los geht's los!	Nom d'un chien !	4	0
-Here we go again!	Jetzt komme ich!	C'est reparti !	2,5	1
Wilbur, if the runway isn't long enough...	Ich kann auf einer Stecknadel landen.	Mais Wilbur, si la piste trop courte...	4	0
And I say again, mate, I'm coming in!	Ich wiederhole: Ich lande.	Et je répète, vieux, j'atterris !	2	1
Here we go!	Ab geht die Post!	En avant !	2,5	1
Don't try and tell me the runway's too short.	Und die Landebahn wäre zu kurz!	Qu'on ne me dise pas que la piste est trop courte !	1	0
Hold this for me, will you, pal?	Halt das mal für mich.	Tenez-moi ça, voulez-vous ?	8	1
Welcome to Australia, ma'am.	Willkommen in Australien. Mein Name ist Jake.	Bienvenue en Australie, madame.	5	1
-How kind.	Wie aufmerksam!	- Comme c'est aimable !	8	1
-Allow me to get that bag for you.	Erlauben Sie mir, den Koffer zu tragen!	- Laissez-moi porter votre valise.	2,7	1
I'm even ready to mambo.	Ich könnte den Mambo tanzen.	Et même à danser le mambo.	5,8	1
They all come in with a whimper, and leave with a grin.	Sie kommen alle jammernd und gehen lachend.	Ils arrivent tous avec la grimace, et repartent avec le sourire.	2	1
I'm an American citizen, buddy!	Ich bin Amerikaner!	Je suis un citoyen américain !	1	0
I'm dreaming!	Ich träume.	Je rêve !	5,7	1
Please don't do this to me.	- Ich bin nicht fertig! - Schießen!	- Ne me faites pas ça !	4,6	0
Why, that's right!	Woher wissen Sie das?	C'est vrai !	5	1
So which way you taking?	Welchen Weg wollen Sie nehmen?	Quelle route allez-vous prendre ?	2	1
A map's no good in the outback!	Karten taugen nichts.	Les cartes ne servent à rien.	1	0
Hold it, not yet!	Warten Sie, noch nicht...	Attendez, pas maintenant...	1	0
Well, boy, let's see if we can do something to refresh that rusty, old memory of yours.	Mal sehen, wie wir gegen deine Vergesslichkeit angehen können.	Voyons si nous pouvons faire quelque chose pour te rafraîchir la mémoire...	2,4	1
You won't have any money after the rangers get through with you.	Sie kriegen keinen Penny, wenn die Waldhüter mit Ihnen fertig sind.	Vous n'aurez rien quand les rangers en auront fini avec vous.	1,2	0
Miss Bianca, I would be most honoured if...	Miss Bianca, es wäre mir eine große Ehre, wenn...	Miss Bianca, vous me feriez un grand honneur... si vous...	8	1
Look out!	Vorsicht!	Attention !	4	0
No mice for you, Twister, not today!	Keine Mäuse für dich, Twister.	Pas de souris pour toi, Tortillon.	1,2	0
Never!	Nie!	Jamais !	2	1
The desert?	- Aus der Wüste.	- Du désert.	2	1
Please, don't let him do it!	- Bitte, lass das nicht zu!	- S'il te plaît, il faut empêcher ça !	1,6	0
I got it!	Ich hab's!	J'ai trouvé !	5	1
All we gotta do is get the keys!	- Wir brauchen die Schlüssel!	- On n'a qu'à attraper la clé !	2	1
-A little further.	Ein bisschen höher...	Un peu plus loin...	2,5	1
Yeah, no, no!	Ja! Ja!  Ja!	Non, non, non !	4	0
Will somebody shut him up?	Er soll seinen Mund halten!	Qu'on le fasse taire !	1	0
You'll thank me when you're free.	Du bist froh, wenn du frei bist.	Tu me remercieras quand tu seras libre.	2	1
This is rusted tight.	Das ist eingerostet.	C'est rouillé.	1	0
I wouldn't dream of using such a tool.	Das würde ich niemals benutzen.	Je n'utiliserais jamais un tel ustensile.	3,4	0
My back!	Mein Rücken!	Mon dos !	6	0
Authorities once again warn residents to use extreme caution...	Die Behörden warnen die Anwohner.	Les autorités recommandent aux habitants la prudence...	2,4	1
The boy won't give me the eagle.	Der Junge sagt es mir aber nicht.	Il ne veut pas me le donner.	1,7	0
Maybe if I stuck him in a giant anthill, that would loosen his tongue and then...	Ich könnte ihn in einen riesigen Ameisenhaufen stecken dann spricht er und dann...	Peut-être si je le mettais dans une fourmilière géante, ça lui délierait la langue, et...	1	0
Who you think you're messing with, you dumb animal?	Weißt du, mit wem du es zu tun hast?	Pour qui tu me prends, imbécile ?	1,3	0
My mental facilities are twice what yours are, you pea brain.	Meine geistige Cleverness ist doppelt so gut wie deine. Spatzengehirn!	Mes capacités mentales sont deux fois supérieures aux tiennes, tête de linotte !	1,3	0
That's it!	Das ist es!	C'est ça !	1	0
That's the boy's weak spot!	Das ist seine Schwäche.	C'est le point faible du gamin.	3	0
I give up!	Ich gebe auf!	J'abandonne ! Je n'y arriverai jamais.	1,3,6	0
Hey, look!	Sieh doch!	Regardez !	5,7	1
Frank, you're free!	Frank, du bist frei...	Frank, tu es libre...	2,7	1
Joanna'll hear!	Joanna hört dich... - Frei, frei, frei!	Joanna va t'entendre... - Libre, libre, libre !	2	1
Take it easy, I'll get you loose.	Ganz ruhig.	Du calme, je vais te libérer.	8	1
This ought to be rich.	- Das kann ja heiter werden.	- Ça promet !	1,2,3	0
Of course, a box!	Natürlich die Kiste.	Bien sûr, la boîte... Je vais monter sur la boîte.	7	None
Whoops.	Oh!	Aïe !	4	0
That's better.	So ist's besser...	Je préfère ça...	7	None
Shot her, right outta the sky.	Aus der Luft geholt: Peng!	Elle volait dans le ciel, et bang !	6	0
Go on, get!	Hau ab!	Va-t'en !	8	1
-Why is he letting him go?	- Wieso lässt er ihn gehen?	- Pourquoi le laisse-t-il partir ?	7	None
Too bad about those eggs, Joanna.	Schade um die Eier, Joanna!	Dommage pour ces œufs, Joanna !	4,8	0
They'll never survive without their mother.	Ohne Mutter haben sie keine Chance.	Ils ne survivront pas sans la mère.	1,3	0
Get between the treads!	In die Zwischenräume, Miss Bianca!	Passez entre les crampons !	1	0
Got it!	Miss Bianca, hier.	Je l'ai !	2,5	1
Say, you lovely ladies wouldn't have seen two little mice running around down there, would you?	Meine werten Damen, Sie haben nicht zufällig zwei kleine Mäuse gesehen? Wo sind Sie?	Dites-moi, belles dames, vous n'auriez pas vu deux petites souris par ici ? Où allez-vous ?	5	1
Come on, we gotta warn him.	Wir müssen ihn warnen.	Venez, il faut le prévenir.	4	0
You're in great danger.	Du bist in großer Gefahr.	Tu cours un grave danger.	4	0
Cody, wait!	Cody, warte!	Cody, attends !	4	0
Help, I'm slipping!	- Hilfe, ich rutsche!	- À l'aide, je glisse !	4	0
How about some great, big, triple-A, jumbo eagle eggs?	Wie wär's mit ein paar riesigen Jumbo-Adlereiern?	Est-ce que ça te dit, de bons gros œufs d'aigle, taille maxi ?	2,5	1
Okay, you guys, she fell for it.	Sehr schön, sie ist darauf reingefallen.	C'est bon, elle est tombée dans le panneau.	5	1
Looks like the coast is clear.	Die Luft ist rein.	La voie est libre.	2,5	1
Don't ever do that to me again!	Mach das nie wieder!	Ne me refaites jamais ça !	1,4	0
That's terrible!	Das ist fürchterlich!	C'est horrible !	4,7	0
We gotta do something!	Wir müssen etwas unternehmen.	Nous devons faire quelque chose.	1,4,7	0
He'll never give up.	Er gibt niemals auf.	Il ne s'avoue jamais vaincu.	2,8	1
Now, get!	Los!	En avant !	2,5	1
Are you ready, boy?	Bist du soweit, Kleiner?	Tu es prêt, gamin ?	2	1
You get a line, I'll get a pole We'll go fishing in the crocodile hole	Du fischst mit dem Stock, ich fisch mit der Schnur, Freund...	Pêche à la ligne, pêche à la mouche Le crocodile n'est pas farouche...	2,5,8	1
It don't look good, Miss B. I can't see any way out of this one.	Sieht nicht gut aus, Miss Bianca. Es gibt keinen Ausweg.	Je n'aime pas ça. Je ne vois pas d'issue, cette fois.	4,8	0
What the blaze is going on here?	Was zum Henker ist jetzt wieder kaputt?	Nom d'une pipe, que se passe-t-il, maintenant ?	7	None
Did you know there was a razorback in my truck?	Wusstest du, dass ein Wildschwein auf meinem Laster war? Wusstest du das?	Tu savais qu'il y avait un cochon sauvage dans mon camion ? Tu savais ?	2,7	1
Well, there's more than one way to skin a cat.	Das haben wir gleich.	Bon... j'ai plusieurs cartes dans mon jeu.	3,4	0
Don't give up, Cody!	Nicht aufgeben, Cody!	Tiens bon, Cody !	2,5	1
Thanks, little mate.	Danke, kleiner Freund.	Merci, mon petit ami.	5	1
Miss Bianca, before anything else happens,	Miss Bianca, ehe irgendetwas anderes passiert...	Miss Bianca, avant qu'il n'arrive autre chose...	4	0
Ning!	Ling!	Tsai-Shen !	5,7	1
Wasn't he that shop's bill collector?	Soll der da im Tibor-Tsai-Haus die Steuern eintreiben?	C'est le collecteur du clan Pao ?	7	None
You made a mistake I'm not Bing Chow!	Lasst mich raus! Ich bin nicht Bing Chow!	Je ne suis pas Chow Ping ! Moi non plus !	4,7	0
A man, just like you, fated to being imprisoned	Mir geht es wie dir. Auch ich wurde vom Schicksal auserkoren, ein Gefangener zu sein.	Je suis comme toi. La prison est notre destin.	6	0
If I analyze military strategy, they say I'm planning a rebellion	Schrieb ich über Militärstrategien, hieß es ich riefe zur Rebellion auf.	Mes manuels de stratégie militaire, de fomenter des révoltes.	1	0
You're really wasteful!	Ein Kakerlak ist etwas ganz Besonderes.	Tu es bien difficile.	1	0
Old man, how long have your been here?	Selbst nach Fliegen wirst du dir die Finger lecken.	Depuis combien de temps êtes-vous ici ?	7	None
Look how I've changed!	Als ich gefangen wurde, war ich genauso jung wie du.	Regarde-moi maintenant.	5,7	1
I am innocent!	Ich bin unschuldig!	Je suis innocent !	6,7,8	0
Old man, my last name isn't Chow!	Bald wirst du nicht mal mehr deinen Namen wissen, Bing.	Je ne m'appelle pas Chow Ping.	1	0
Old man, why are you carving my name?	Warum schreibst du meinen Namen?	Pourquoi barrez-vous mon nom ?	7	None
Some official's son got in trouble and they're looking for a substitute	Es gibt keine Gesetze mehr, auf die man sich verlassen kann.	C'est sûrement un riche qui a payé pour se faire remplacer.	6	0
At night the executioner can't tell one from another	Korrupte Beamte verpfuschen einfach alles. Keiner weiß, wer und warum er im Dunkeln hingerichtet wird.	En pleine nuit, personne ne verra la différence.	4	0
Is there no justice in the world?	Es gibt keine Gerechtigkeit in dieser Welt.	Il n'y a pas de justice en ce monde.	1,3,6,7	0
It is of no concern to me	Es geht mich nichts an. Es geht mich nichts an.  Hier:	Je fais seulement mon office. Je fais seulement mon office.	3	0
Young man, you have a good heart	Ich habe es immer bei mir.	Comme tu peux être sentimental !	5,8	1
It would be a pity if you died, not me	Schade, dass du so früh sterben musst.	- Votre mort aurait été regrettable.	6	0
Once you're out of here never come back!	Und das Bündel hier nimmst du mit. Klettere durch den Tunnel und komm nie zurück.	Une fois dehors, ne reviens pas.	1,3,4	0
Take care!	Geh jetzt!	- File. - Adieu.	5	1
I must reply his kindness someday	Wie hat er das nur geschafft?	Il faudra que je le remercie.	8	1
You think you're fast over land I'll go underground!	Du kannst über der Erde reiten aber ich kann unter der Erde rennen!	Peu importe, je saurai te rattraper.	3	0
I must find a place to get out of this downpour!	Ich brauche Schutz vor diesem Wolkenbruch.	Je dois trouver où m'abriter.	1	0
I thought it was the old man's	Ich dachte, es wäre von dem alten Herrn gewesen.	Je croyais qu'il était à mon codétenu.	7	None
Still you should have asked before taking it	Ach, Quatsch. Selbst wenn, hättest du ja mal fragen können.  Oh, dann bist du ja auch ein Mensch.	Tu aurais pu demander avant de le prendre.	1	0
I knew it!	Ich wusste, dass da das Regenwasser herunterkommt. Damit das klar ist:	Je savais qu'il y avait une fuite d'eau.	5	1
Oh, you understand the occult!	Mein Freund, du beherrschst also die Magie?	Dites-moi, vous connaissez la magie.	7	None
Want to trick me?	Keine Tricks mit ihm.	Pas si vite !	2	1
A good thing you have a waistband	Wie gut, dass die Gurte halten.	Bien vu, la ceinture !	8	1
Stay away from me!	Komm mir nicht zu nahe!	N'approchez pas.	1,3,4	0
I'm falling...	Ich stürze ab!	Je vais tomber.	6	0
If I let go, I'll fall!	Nimm deine Hände weg!	- Si je lâche, je tombe.	4	0
If you don't let go, I'll...	Nein, dann falle ich runter! Lass mich los!	Lâchez-moi ou je...	3	0
Don't you recognize me?	Erinnerst du dich nicht mehr?	Tu ne me reconnais donc pas ?	1,7	0
Elder, you can save us	Mein Herr, nur Sie können uns helfen.	Vous allez pouvoir nous aider.	2,8	1
How can I make you believe me?	Was soll ich euch denn noch erzählen, damit ihr mir glaubt?	Comment pourrais-je vous convaincre ?	2,6	1
Such an honour that you rode my horse!	Es war eine große Ehre, dass Sie mein Pferd geritten haben.	Vous avez monté mon cheval, j'en suis très honoré.	8	1
Looking at the moon and feeling lonely	Alleine sind wir mit dem Mond.	"""Celui qui contemple la lune attend une présence."	5,6	1
His words are too profound	Sehr mysteriös.	C'est trop abstrait.	5,7	1
We already know that	Das wissen wir schon.	Nous le savons déjà.	1	0
So, should we still listen to what Elder says?	Wir sollten schon befolgen, was unser Herr sagt.	Même quand il s'agit du maître ?	1,3	0
Yes, Elder	Ja, Herr Chu.	Oui, maître.	8	1
What are you spying on?	Schwester, was schaust du denn da an?	Et toi, que regardes-tu ?	2,4,7,8	1
It's back!	Er kommt!	- Il approche.	7	None
I understand!	Soll das heißen, dass ich etwas gegen dich tun soll?	J'ai compris.	7,8	None
That monster is so tall, it'll see us if he stands up straight	Der Geist ist so gerissen, der sieht uns sofort.	Le monstre est immense. Il va nous voir.	2,4,7	1
How can I undo the spell?	Irgendwie muss ich dich doch wieder auf die Beine kriegen!	Dis-moi comment je peux dissiper ce sort !	4	0
You're getting heavier and heavier Can't carry you much longer	Du bist wirklich zu schwer. Ich kann dich nicht tragen.	Tu es de plus en plus lourd. J'ai du mal à te traîner.	4,6	0
How do I undo the spell?	Wie wird sie aufgelöst?	Que dois-je faire ? Mais que dois-je faire ?	4	0
Finally lifted the spell!	Endlich ist alles aufgelöst.	On y est arrivés.	5	1
I order all ghosts to be expelled!	Ich befehle euch: Verschwindet, ihr Geister!	Par la voûte céleste, arrière, démon !	1	0
It doesn't fear my incantations!	Er fürchtet nicht mal mein Zauberwort.	Il est trop fort.	4	0
It could still come back at any time	Ich könnte schwören, der kommt noch mal zurück!	Il peut revenir à tout moment.	4	0
My magical powers are no good at all	Immer noch daneben!	Ma magie ne lui fait rien.	6	0
I was just taking a rest after battling some ghosts and you say I'm blocking your way	Ich fange Geister in der Erde, wie soll ich dir da im Weg sein?	J'étais sous terre, je poursuivais un monstre.	1	0
When that monster makes a run for it tonight, you'll be in deep trouble	Wenn es dunkel wird, kommt der Geist.	Il va apparaître à la nuit tombée.	1	0
Seeking wealth and position is for the likes of you mere mortals	Während Ihr nach Macht und Geld strebt leben wir Mönche für die Luft.	J'ai fait vœu de dénuement et tu cours après l'argent.	8,4	1
Earth, open up!	In die Erde!	Tunnel !	2	1
There's nothing I can do about squabbles in the imperial court	In die Angelegenheiten des Kaiserhauses kann ich mich als Soldat nicht einmischen.	Je ne me mêle pas des querelles de la cour.	1	0
After we get to the capital whatever the emperor does to you is not me responsibility	Wie Sie dann von Seiner Majestät behandelt werden darauf habe ich keinen Einfluss.	Arrivés à la capitale, c'est l'empereur qui décidera de votre sort.	3	0
If you're starving don't waste your money	Wenn du verhungert bist, brauchst du kein Geld mehr.	Tu peux crever de faim, c'est gratuit.	2	1
Miss Windy, the villa has been ransacked	Die werden erst hier sein, wenn es dunkel wird. Fräulein Ji Bo, hier ist alles zerstört!	Dame Ching-Fon, tout est sens dessus dessous.	4	0
My clothes!	Wo ist mein Kleid?	Mes vêtements !	1	0
I'm cold	Es ist kalt!	- J'ai froid.	6	0
There's noise coming from upstairs Let's go up for a look	Was war das für ein Geräusch?	Ça vient d'en haut.	2	1
Don't be so impolite in the future	In Zukunft dürft ihr nicht mehr so unhöflich sein!	Un peu de tenue, allons !	3	0
This is how you do it...	So, das wär's. Still!	Je crois que c'est ça. Halte !	2	1
Don't do it haphazardly This spell is hard to reverse	Nur im Notfall! Sonst wird es mühsam, es wieder aufzulösen.	Attention, c'est difficile à dissiper.	4	0
Whether I call you Hsiao-tsing or Windy there's no need to be bashful	Ob Siu Seen oder Ji Bo ist doch egal.	Peu importe. Vous n'avez pas à être gênée.	1	0
Don't bother explaining	Erklärt bitte nichts.	- Ne dites rien.	8	1
You're betrothed?	Hast du dich verlobt?	- Comment ça ?	7	None
I'll go to her next Quick, give me your hand	Zuerst du und dann deine Schwester. Gib mir deine Hand.	Donnez-moi votre main d'abord.	8	1
Inside there's a huge creature	Es war wie ein Riese. Es war wahnsinnig groß!	C'est immense...	2,4	1
I don't know what it is	Was war das?	Je ne sais pas ce que c'est.	7	None
The archery machine!	Eine Bogenschießmaschine!	L'arbalète ?	2,7	1
